waktu,provinsi,kab_kota,jumlah_merchant
2024-01-01,Prov. Banten,Kab. Pandeglang,1.0
2024-01-01,Prov. Sumatera Barat,Kab. Pesisir Selatan,1.0
2024-01-01,Prov. Sumatera Barat,Kab. Pasaman Barat,1.0
2024-01-01,Prov. Kalimantan Barat,Kab. Kuburaya,1.0
2024-01-01,Prov. Kalimantan Barat,Kab. Kapuas Hulu,1.0
2024-01-01,Prov. Jawa Timur,Kota Surabaya,1.0
2024-01-01,Prov. Jawa Timur,Kab. Pamekasan,1.0
2024-01-01,Prov. Jawa Timur,Kab. Nganjuk,1.0
2024-01-01,Prov. Jawa Timur,Kab. Kediri,1.0
2024-01-01,Prov. Sumatera Utara,Kab. Batubara,1.0
2024-01-01,Prov. Jawa Tengah,Kab. Kebumen,2.0
2024-01-01,Prov. Jawa Tengah,Kab. Jepara,1.0
2024-01-01,Prov. Jawa Tengah,Kab. Cilacap,1.0
2024-01-01,Prov. Jawa Barat,Kota Bekasi,1.0
2024-01-01,Prov. Jawa Barat,Kab. Sukabumi,1.0
2024-01-01,Prov. Jawa Barat,Kab. Bandung,1.0
2024-01-01,Prov. Banten,Kota Tangerang,1.0
2024-01-01,Prov. Jawa Tengah,Kab. Pati,1.0
2024-01-02,Prov. Jawa Timur,Kab. Sidoarjo,3.0
2024-01-02,Prov. Jawa Timur,Kab. Situbondo,1.0
2024-01-02,Prov. Jawa Timur,Kota Probolinggo,1.0
2024-01-02,Prov. Kalimantan Barat,Kota Pontianak,1.0
2024-01-02,Prov. Kalimantan Selatan,Kota Banjarmasin,1.0
2024-01-02,Prov. Kepulauan Bangka Belitung,Kab. Bangka Barat,1.0
2024-01-02,Prov. Lampung,Kota Metro,1.0
2024-01-02,Prov. Nusa Tenggara Barat,Kab. Lombok Barat,1.0
2024-01-02,Prov. Sumatera Selatan,Kab. Banyuasin,1.0
2024-01-02,Prov. Sulawesi Selatan,Kab. Pinrang,1.0
2024-01-02,Prov. Sumatera Barat,Kota Padang,2.0
2024-01-02,Prov. Sumatera Selatan,Kota Palembang,3.0
2024-01-02,Prov. Sumatera Utara,Kab. Asahan,1.0
2024-01-02,Prov. Sumatera Utara,Kab. Humbang Hasudutan,1.0
2024-01-02,Prov. Sumatera Utara,Kota Tanjung Balai,1.0
2024-01-02,Prov. Jawa Timur,Kab. Mojokerto,1.0
2024-01-02,Prov. Sulawesi Selatan,Kab. Bone,2.0
2024-01-02,Prov. Jawa Timur,Kab. Malang,1.0
2024-01-02,Prov. Jawa Timur,Kab. Lumajang,1.0
2024-01-02,Prov. Bali,Kota Denpasar,1.0
2024-01-02,Prov. Jawa Timur,Kab. Kediri,2.0
2024-01-02,Prov. Banten,Kab. Lebak,1.0
2024-01-02,Prov. Bengkulu,Kota Bengkulu,1.0
2024-01-02,Prov. D.I. Yogyakarta,Kota Yogyakarta,1.0
2024-01-02,Prov. D.K.I. Jakarta,Kota Jakarta Timur,1.0
2024-01-02,Prov. Jawa Barat,Kab. Bogor,6.0
2024-01-02,Prov. Jawa Barat,Kab. Pangandaran,1.0
2024-01-02,Prov. Jawa Barat,Kab. Subang,1.0
2024-01-02,Prov. Jambi,Kab. Tanjung Jabung Timur,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Jepara,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Demak,1.0
2024-01-02,Prov. Jawa Tengah,Kota Tegal,1.0
2024-01-02,Prov. Jawa Tengah,Kota Semarang,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Purworejo,1.0
2024-01-02,Prov. Jawa Timur,Kab. Jember,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-02,Prov. Jawa Tengah,Kab. Karanganyar,2.0
2024-01-02,Prov. Jawa Tengah,Kab. Kudus,1.0
2024-01-03,Prov. Jawa Timur,Kab. Trenggalek,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Magelang,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Semarang,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Tegal,1.0
2024-01-03,Prov. Jawa Tengah,Kota Tegal,2.0
2024-01-03,Prov. Jawa Timur,Kab. Kediri,1.0
2024-01-03,Prov. Jawa Timur,Kab. Sidoarjo,1.0
2024-01-03,Prov. Jawa Timur,Kab. Tuban,2.0
2024-01-03,Prov. Jawa Tengah,Kab. Kebumen,3.0
2024-01-03,Prov. Jawa Timur,Kota Surabaya,2.0
2024-01-03,Prov. Kalimantan Selatan,Kab. Tabalong,1.0
2024-01-03,Prov. Kalimantan Selatan,Kab. Tanah Bumbu,1.0
2024-01-03,Prov. Kalimantan Selatan,Kota Banjarmasin,1.0
2024-01-03,Prov. Kalimantan Utara,Kota Tarakan,1.0
2024-01-03,Prov. Sulawesi Selatan,Kab. Pinrang,1.0
2024-01-03,Prov. Sumatera Barat,Kab. Solok,1.0
2024-01-03,Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,1.0
2024-01-03,Prov. Jawa Timur,Kota Madiun,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Jepara,2.0
2024-01-03,Prov. Jawa Barat,Kota Bogor,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Banjarnegara,1.0
2024-01-03,Prov. Jawa Tengah,Kab. Brebes,1.0
2024-01-03,Prov. Banten,Kab. Lebak,1.0
2024-01-03,Prov. Banten,Kab. Pandeglang,1.0
2024-01-03,Prov. Banten,Kab. Tangerang,1.0
2024-01-03,Prov. Banten,Kota Serang,1.0
2024-01-03,Prov. Banten,Kota Tangerang Selatan,2.0
2024-01-03,Prov. Bengkulu,Kab. Muko-muko,1.0
2024-01-03,Prov. D.I. Yogyakarta,Kab. Bantul,1.0
2024-01-03,Prov. D.I. Yogyakarta,Kab. Gunung Kidul,1.0
2024-01-03,Prov. Bali,Kab. Buleleng,1.0
2024-01-03,Prov. D.K.I. Jakarta,Kota Jakarta Barat,2.0
2024-01-03,Prov. D.K.I. Jakarta,Kota Jakarta Pusat,1.0
2024-01-03,Prov. Jawa Barat,Kab. Bandung,3.0
2024-01-03,Prov. Jawa Barat,Kab. Bekasi,2.0
2024-01-03,Prov. Jawa Barat,Kab. Bogor,5.0
2024-01-03,Prov. Jawa Barat,Kota Bandung,1.0
2024-01-03,Prov. Jawa Barat,Kota Banjar,1.0
2024-01-03,Prov. D.I. Yogyakarta,Kota Yogyakarta,1.0
2024-01-04,Prov. Jawa Tengah,Kab. Cilacap,3.0
2024-01-04,Prov. Jawa Tengah,Kab. Demak,1.0
2024-01-04,Prov. Jawa Tengah,Kab. Grobogan,1.0
2024-01-04,Prov. Jawa Tengah,Kab. Kudus,1.0
2024-01-04,Prov. Jawa Tengah,Kab. Magelang,1.0
2024-01-04,Prov. Jawa Tengah,Kab. Temanggung,1.0
2024-01-04,Prov. Jawa Timur,Kab. Trenggalek,1.0
2024-01-04,Prov. Jawa Timur,Kab. Tuban,1.0
2024-01-04,Prov. Kalimantan Timur,Kab. Kutai Kartanegara,1.0
2024-01-04,Prov. Jawa Timur,Kota Malang,1.0
2024-01-04,Prov. Jawa Timur,Kota Surabaya,1.0
2024-01-04,Prov. Kalimantan Timur,Kota Samarinda,2.0
2024-01-04,Prov. Lampung,Kota Bandar Lampung,1.0
2024-01-04,Prov. Papua,Kab. Mimika,1.0
2024-01-04,Prov. Sumatera Barat,Kota Pariaman,1.0
2024-01-04,Prov. Sumatera Selatan,Kab. Muara Enim,1.0
2024-01-04,Prov. Jawa Timur,Kab. Tulungagung,1.0
2024-01-04,Prov. Jawa Tengah,Kab. Brebes,1.0
2024-01-04,Prov. Jawa Barat,Kota Bandung,1.0
2024-01-04,Prov. Jawa Tengah,Kab. Banjarnegara,2.0
2024-01-04,Prov. Jawa Tengah,Kab. Blora,1.0
2024-01-04,Prov. Banten,Kab. Tangerang,2.0
2024-01-04,Prov. Banten,Kota Tangerang,1.0
2024-01-04,Prov. Banten,Kota Tangerang Selatan,1.0
2024-01-04,Prov. D.I. Yogyakarta,Kab. Bantul,1.0
2024-01-04,Prov. D.K.I. Jakarta,Kota Jakarta Barat,1.0
2024-01-04,Prov. D.K.I. Jakarta,Kota Jakarta Pusat,1.0
2024-01-04,Prov. D.K.I. Jakarta,Kota Jakarta Selatan,1.0
2024-01-04,Prov. Bali,Kota Denpasar,1.0
2024-01-04,Prov. Jawa Barat,Kab. Bekasi,2.0
2024-01-04,Prov. Jawa Barat,Kab. Bogor,3.0
2024-01-04,Prov. Jawa Barat,Kab. Cianjur,1.0
2024-01-04,Prov. Jawa Barat,Kab. Karawang,1.0
2024-01-04,Prov. Jawa Barat,Kab. Purwakarta,1.0
2024-01-04,Prov. Jawa Barat,Kab. Sukabumi,1.0
2024-01-04,Prov. Jawa Barat,Kab. Sumedang,1.0
2024-01-04,Prov. Jawa Barat,Kab. Bandung,2.0
2024-01-05,Prov. Jawa Tengah,Kota Semarang,1.0
2024-01-05,Prov. Jawa Timur,Kab. Jember,2.0
2024-01-05,Prov. Jawa Timur,Kab. Kediri,1.0
2024-01-05,Prov. Jawa Timur,Kab. Nganjuk,1.0
2024-01-05,Prov. Jawa Timur,Kab. Trenggalek,1.0
2024-01-05,Prov. Jawa Timur,Kota Surabaya,1.0
2024-01-05,Prov. Sumatera Barat,Kab. Pasaman Barat,2.0
2024-01-05,Prov. Nusa Tenggara Barat,Kab. Lombok Barat,1.0
2024-01-05,Prov. Nusa Tenggara Barat,Kota Mataram,1.0
2024-01-05,Prov. Sumatera Barat,Kota Payakumbuh,1.0
2024-01-05,Prov. Sumatera Selatan,Kota Palembang,1.0
2024-01-05,Prov. Sumatera Utara,Kab. Labuhan Batu,1.0
2024-01-05,Prov. Jawa Tengah,Kab. Temanggung,1.0
2024-01-05,Prov. Lampung,Kab. Lampung Tengah,1.0
2024-01-05,Prov. Jawa Tengah,Kab. Tegal,1.0
2024-01-05,Prov. Jawa Tengah,Kab. Batang,1.0
2024-01-05,Prov. Jawa Tengah,Kab. Kudus,1.0
2024-01-05,Prov. Banten,Kab. Serang,1.0
2024-01-05,Prov. Banten,Kota Serang,1.0
2024-01-05,Prov. Banten,Kota Tangerang,1.0
2024-01-05,Prov. Bengkulu,Kab. Kepahiang,1.0
2024-01-05,Prov. Jambi,Kab. Tanjung Jabung Timur,2.0
2024-01-05,Prov. Jawa Barat,Kab. Bandung,1.0
2024-01-05,Prov. D.K.I. Jakarta,Kota Jakarta Utara,1.0
2024-01-05,Prov. Jawa Barat,Kota Bandung,1.0
2024-01-05,Prov. Jawa Barat,Kota Bogor,1.0
2024-01-05,Prov. Jawa Tengah,Kab. Banjarnegara,1.0
2024-01-05,Prov. Jawa Tengah,Kab. Purworejo,1.0
2024-01-05,Prov. Jawa Tengah,Kab. Brebes,2.0
2024-01-05,Prov. Jawa Tengah,Kab. Demak,1.0
2024-01-05,Prov. Jawa Barat,Kab. Cianjur,1.0
2024-01-06,Prov. Jawa Timur,Kab. Ponorogo,1.0
2024-01-06,Prov. Sumatera Selatan,Kota Palembang,1.0
2024-01-06,Prov. Sumatera Barat,Kota Padang,1.0
2024-01-06,Prov. Lampung,Kab. Tulang Bawang,1.0
2024-01-06,Prov. Kalimantan Timur,Kab. Kutai Kartanegara,1.0
2024-01-06,Prov. Jawa Timur,Kota Pasuruan,1.0
2024-01-06,Prov. Jawa Timur,Kab. Jombang,1.0
2024-01-06,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-06,Prov. Jawa Tengah,Kab. Temanggung,1.0
2024-01-06,Prov. Jawa Tengah,Kab. Purworejo,1.0
2024-01-06,Prov. Jawa Barat,Kota Bogor,1.0
2024-01-06,Prov. Jawa Barat,Kab. Bogor,2.0
2024-01-06,Prov. D.K.I. Jakarta,Kota Jakarta Timur,1.0
2024-01-06,Prov. Jawa Tengah,Kota Semarang,1.0
2024-01-07,Prov. Jawa Timur,Kab. Madiun,1.0
2024-01-07,Prov. Sumatera Utara,Kab. Serdang Bedagai,1.0
2024-01-07,Prov. Riau,Kab. Pelalawan,1.0
2024-01-07,Prov. Lampung,Kab. Lampung Selatan,1.0
2024-01-07,Prov. Kalimantan Timur,Kab. Kutai Kartanegara,1.0
2024-01-07,Prov. Jawa Timur,Kab. Ponorogo,1.0
2024-01-07,Prov. Jawa Timur,Kab. Pasuruan,1.0
2024-01-07,Prov. Jawa Timur,Kab. Kediri,1.0
2024-01-07,Prov. Jawa Barat,Kab. Karawang,1.0
2024-01-07,Prov. Jawa Tengah,Kab. Boyolali,2.0
2024-01-07,Prov. Jawa Barat,Kota Bogor,3.0
2024-01-07,Prov. Jawa Barat,Kab. Subang,1.0
2024-01-07,Prov. Jawa Tengah,Kab. Pati,1.0
2024-01-07,Prov. Jawa Barat,Kab. Bogor,1.0
2024-01-07,Prov. Jawa Barat,Kab. Bandung,1.0
2024-01-07,Prov. D.K.I. Jakarta,Kota Jakarta Utara,1.0
2024-01-07,Prov. Banten,Kota Serang,1.0
2024-01-08,Prov. Kalimantan Utara,Kab. Bulungan,1.0
2024-01-08,Prov. Kalimantan Timur,Kab. Paser,1.0
2024-01-08,Prov. Kalimantan Selatan,Kota Banjarmasin,1.0
2024-01-08,Prov. Jawa Timur,Kab. Malang,1.0
2024-01-08,Prov. Jawa Timur,Kab. Mojokerto,2.0
2024-01-08,Prov. Kepulauan Bangka Belitung,Kab. Belitung,1.0
2024-01-08,Prov. Sumatera Utara,Kota Tebing Tinggi,1.0
2024-01-08,Prov. Jawa Timur,Kota Surabaya,1.0
2024-01-08,Prov. Lampung,Kab. Lampung Selatan,1.0
2024-01-08,Prov. Sulawesi Selatan,Kab. Jeneponto,1.0
2024-01-08,Prov. Lampung,Kota Metro,1.0
2024-01-08,Prov. Riau,Kab. Rokan Hilir,1.0
2024-01-08,Prov. Sulawesi Utara,Kota Manado,1.0
2024-01-08,Prov. Sumatera Barat,Kota Padang,1.0
2024-01-08,Prov. Sumatera Selatan,Kab. Musi Rawas,1.0
2024-01-08,Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,1.0
2024-01-08,Prov. Sumatera Utara,Kab. Deli Serdang,1.0
2024-01-08,Prov. Sumatera Utara,Kab. Nias,1.0
2024-01-08,Prov. Jawa Timur,Kab. Gresik,1.0
2024-01-08,Prov. Lampung,Kab. Lampung Tengah,1.0
2024-01-08,Prov. Jawa Timur,Kab. Banyuwangi,1.0
2024-01-08,Prov. Jawa Timur,Kab. Kediri,2.0
2024-01-08,Prov. Jawa Tengah,Kota Semarang,1.0
2024-01-08,Prov. Bali,Kab. Badung,1.0
2024-01-08,Prov. Jawa Tengah,Kota Surakarta,1.0
2024-01-08,Prov. Jawa Barat,Kab. Bandung Barat,1.0
2024-01-08,Prov. Jawa Barat,Kab. Bekasi,1.0
2024-01-08,Prov. Jawa Barat,Kab. Karawang,1.0
2024-01-08,Prov. Jawa Barat,Kab. Majalengka,1.0
2024-01-08,Prov. Jawa Barat,Kab. Subang,1.0
2024-01-08,Prov. Jawa Barat,Kab. Sukabumi,1.0
2024-01-08,Prov. Jawa Barat,Kota Bandung,1.0
2024-01-08,Prov. Banten,Kota Tangerang Selatan,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Batang,1.0
2024-01-08,Prov. Jawa Barat,Kota Cimahi,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Rembang,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Purworejo,2.0
2024-01-08,Prov. Jawa Tengah,Kab. Purbalingga,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Temanggung,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Pati,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Karanganyar,1.0
2024-01-08,Prov. Jawa Tengah,Kab. Pemalang,1.0
2024-01-09,Prov. Jawa Timur,Kab. Tuban,1.0
2024-01-09,Prov. Jawa Tengah,Kab. Sukoharjo,1.0
2024-01-09,Prov. Jawa Tengah,Kota Pekalongan,1.0
2024-01-09,Prov. Jawa Timur,Kab. Kediri,1.0
2024-01-09,Prov. Jawa Timur,Kab. Sidoarjo,1.0
2024-01-09,Prov. Jawa Timur,Kab. Trenggalek,3.0
2024-01-09,Prov. Jawa Timur,Kota Blitar,1.0
2024-01-09,Prov. Riau,Kab. Bengkalis,1.0
2024-01-09,Prov. Kalimantan Selatan,Kab. Tanah Laut,1.0
2024-01-09,Prov. Kalimantan Timur,Kota Samarinda,1.0
2024-01-09,Prov. Nusa Tenggara Barat,Kota Mataram,1.0
2024-01-09,Prov. Sulawesi Selatan,Kota Makassar,1.0
2024-01-09,Prov. Sumatera Utara,Kab. Deli Serdang,2.0
2024-01-09,Prov. Sumatera Utara,Kota Medan,2.0
2024-01-09,Prov. Jawa Timur,Kota Surabaya,2.0
2024-01-09,Prov. Jawa Tengah,Kab. Semarang,1.0
2024-01-09,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-09,Prov. Jawa Tengah,Kab. Pemalang,1.0
2024-01-09,Prov. Jawa Tengah,Kab. Purworejo,2.0
2024-01-09,Prov. Bali,Kab. Jembrana,1.0
2024-01-09,Prov. Banten,Kota Serang,1.0
2024-01-09,Prov. Banten,Kota Tangerang,1.0
2024-01-09,Prov. D.I. Yogyakarta,Kab. Kulon Progo,1.0
2024-01-09,Prov. D.I. Yogyakarta,Kota Yogyakarta,1.0
2024-01-09,Prov. D.K.I. Jakarta,Kota Jakarta Timur,2.0
2024-01-09,Prov. Banten,Kota Tangerang Selatan,1.0
2024-01-09,Prov. Jawa Barat,Kab. Bandung Barat,1.0
2024-01-09,Prov. Jawa Barat,Kab. Bogor,2.0
2024-01-09,Prov. Jawa Barat,Kab. Garut,1.0
2024-01-09,Prov. Jawa Barat,Kab. Purwakarta,1.0
2024-01-09,Prov. Jawa Tengah,Kab. Banyumas,1.0
2024-01-09,Prov. Jawa Tengah,Kab. Karanganyar,1.0
2024-01-09,Prov. Jawa Barat,Kab. Bandung,1.0
2024-01-10,Prov. Jawa Timur,Kota Kediri,1.0
2024-01-10,Prov. Jawa Tengah,Kab. Wonogiri,1.0
2024-01-10,Prov. Jawa Tengah,Kota Semarang,3.0
2024-01-10,Prov. Jawa Timur,Kab. Jember,1.0
2024-01-10,Prov. Jawa Timur,Kab. Mojokerto,1.0
2024-01-10,Prov. Jawa Timur,Kab. Nganjuk,1.0
2024-01-10,Prov. Jawa Timur,Kab. Pacitan,1.0
2024-01-10,Prov. Jawa Timur,Kota Pasuruan,1.0
2024-01-10,Prov. Sumatera Selatan,Kab. Ogan Komering Ulu,1.0
2024-01-10,Prov. Kalimantan Selatan,Kab. Barito Kuala,1.0
2024-01-10,Prov. Kalimantan Timur,Kota Balikpapan,1.0
2024-01-10,Prov. Lampung,Kab. Lampung Tengah,1.0
2024-01-10,Prov. Riau,Kab. Siak,2.0
2024-01-10,Prov. Sulawesi Utara,Kab. Minahasa Utara,1.0
2024-01-10,Prov. Sumatera Selatan,Kab. Ogan Komering Ilir,1.0
2024-01-10,Prov. Jawa Tengah,Kab. Sukoharjo,1.0
2024-01-10,Prov. Kalimantan Barat,Kab. Kuburaya,1.0
2024-01-10,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-10,Prov. Jawa Tengah,Kab. Magelang,1.0
2024-01-10,Prov. Jawa Tengah,Kab. Boyolali,1.0
2024-01-10,Prov. Bali,Kab. Buleleng,1.0
2024-01-10,Prov. Bali,Kab. Klungkung,1.0
2024-01-10,Prov. Bali,Kota Denpasar,1.0
2024-01-10,Prov. Banten,Kab. Serang,1.0
2024-01-10,Prov. Banten,Kota Serang,1.0
2024-01-10,Prov. Banten,Kota Tangerang,2.0
2024-01-10,Prov. D.I. Yogyakarta,Kab. Gunung Kidul,1.0
2024-01-10,Prov. D.K.I. Jakarta,Kota Jakarta Timur,2.0
2024-01-10,Prov. Banten,Kab. Tangerang,1.0
2024-01-10,Prov. Jawa Barat,Kab. Bekasi,1.0
2024-01-10,Prov. Jawa Barat,Kab. Bogor,1.0
2024-01-10,Prov. Jawa Barat,Kab. Pangandaran,1.0
2024-01-10,Prov. Jawa Barat,Kota Bandung,1.0
2024-01-10,Prov. Jawa Barat,Kota Bekasi,1.0
2024-01-10,Prov. Jawa Barat,Kota Cimahi,1.0
2024-01-10,Prov. Jawa Tengah,Kab. Banyumas,1.0
2024-01-10,Prov. Jawa Tengah,Kab. Jepara,1.0
2024-01-10,Prov. Jawa Barat,Kab. Bandung,2.0
2024-01-11,Prov. Jawa Timur,Kota Kediri,1.0
2024-01-11,Prov. Jawa Timur,Kab. Sidoarjo,1.0
2024-01-11,Prov. Jawa Timur,Kab. Mojokerto,1.0
2024-01-11,Prov. Jawa Timur,Kab. Kediri,2.0
2024-01-11,Prov. Jawa Tengah,Kab. Klaten,1.0
2024-01-11,Prov. Jawa Tengah,Kota Semarang,1.0
2024-01-11,Prov. Jawa Tengah,Kab. Kudus,1.0
2024-01-11,Prov. Jawa Timur,Kota Probolinggo,1.0
2024-01-11,Prov. Jawa Timur,Kab. Jombang,1.0
2024-01-11,Prov. Jawa Timur,Kota Surabaya,1.0
2024-01-11,Prov. Sumatera Utara,Kab. Padang Lawas,1.0
2024-01-11,Prov. Kalimantan Utara,Kota Tarakan,1.0
2024-01-11,Prov. Kepulauan Riau,Kab. Karimun,1.0
2024-01-11,Prov. Sumatera Barat,Kab. Solok Selatan,1.0
2024-01-11,Prov. Sumatera Barat,Kab. Tanah Datar,1.0
2024-01-11,Prov. Sumatera Barat,Kota Payakumbuh,1.0
2024-01-11,Prov. Sumatera Selatan,Kab. Musi Banyuasin,1.0
2024-01-11,Prov. Sumatera Selatan,Kab. Musi Rawas,1.0
2024-01-11,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-11,Prov. Sumatera Utara,Kota Medan,1.0
2024-01-11,Prov. Kalimantan Selatan,Kab. Banjar,1.0
2024-01-11,Prov. Jawa Tengah,Kab. Jepara,1.0
2024-01-11,Prov. Jawa Tengah,Kab. Batang,1.0
2024-01-11,Prov. Banten,Kab. Tangerang,1.0
2024-01-11,Prov. Aceh,Kab. Aceh Barat Daya,1.0
2024-01-11,Prov. Bali,Kota Denpasar,1.0
2024-01-11,Prov. Jawa Tengah,Kab. Cilacap,1.0
2024-01-11,Prov. Banten,Kota Serang,2.0
2024-01-11,Prov. Banten,Kota Tangerang,1.0
2024-01-11,Prov. Banten,Kota Tangerang Selatan,1.0
2024-01-11,Prov. Bengkulu,Kota Bengkulu,1.0
2024-01-11,Prov. Jambi,Kota Jambi,1.0
2024-01-11,Prov. Jawa Barat,Kab. Bandung,3.0
2024-01-11,Prov. D.K.I. Jakarta,Kota Jakarta Utara,1.0
2024-01-11,Prov. Jawa Barat,Kab. Bekasi,5.0
2024-01-11,Prov. Jawa Barat,Kota Sukabumi,1.0
2024-01-11,Prov. Jawa Barat,Kab. Bandung Barat,2.0
2024-01-11,Prov. Jawa Barat,Kab. Tasikmalaya,1.0
2024-01-11,Prov. Jawa Barat,Kab. Purwakarta,1.0
2024-01-11,Prov. Jawa Barat,Kota Bandung,4.0
2024-01-11,Prov. Jawa Barat,Kab. Indramayu,1.0
2024-01-11,Prov. Jawa Barat,Kab. Cianjur,1.0
2024-01-11,Prov. Jawa Barat,Kab. Bogor,1.0
2024-01-11,Prov. Jawa Barat,Kab. Pangandaran,1.0
2024-01-12,Prov. Jawa Timur,Kab. Magetan,1.0
2024-01-12,Prov. Jawa Tengah,Kota Magelang,1.0
2024-01-12,Prov. Jawa Tengah,Kota Semarang,1.0
2024-01-12,Prov. Jawa Timur,Kab. Bojonegoro,1.0
2024-01-12,Prov. Jawa Timur,Kab. Gresik,1.0
2024-01-12,Prov. Jawa Timur,Kab. Jember,1.0
2024-01-12,Prov. Jawa Timur,Kab. Nganjuk,1.0
2024-01-12,Prov. Jawa Tengah,Kab. Temanggung,1.0
2024-01-12,Prov. Jawa Timur,Kota Surabaya,1.0
2024-01-12,Prov. Kalimantan Timur,Kab. Kutai Timur,1.0
2024-01-12,Prov. Lampung,Kab. Mesuji,1.0
2024-01-12,Prov. Riau,Kota Pekanbaru,1.0
2024-01-12,Prov. Sumatera Selatan,Kab. Musi Banyuasin,1.0
2024-01-12,Prov. Sumatera Selatan,Kota Palembang,1.0
2024-01-12,Prov. Jawa Timur,Kab. Sampang,1.0
2024-01-12,Prov. Jawa Tengah,Kab. Sukoharjo,1.0
2024-01-12,Prov. Jawa Tengah,Kab. Pemalang,1.0
2024-01-12,Prov. Jawa Tengah,Kab. Pati,2.0
2024-01-12,Prov. Bali,Kota Denpasar,1.0
2024-01-12,Prov. Banten,Kab. Serang,1.0
2024-01-12,Prov. D.I. Yogyakarta,Kab. Sleman,1.0
2024-01-12,Prov. D.K.I. Jakarta,Kota Jakarta Selatan,1.0
2024-01-12,Prov. Jawa Barat,Kab. Bogor,5.0
2024-01-12,Prov. Jawa Barat,Kab. Cianjur,1.0
2024-01-12,Prov. Banten,Kab. Tangerang,1.0
2024-01-12,Prov. Jawa Barat,Kab. Kuningan,1.0
2024-01-12,Prov. Jawa Barat,Kab. Subang,1.0
2024-01-12,Prov. Jawa Barat,Kota Bandung,1.0
2024-01-12,Prov. Jawa Tengah,Kab. Demak,1.0
2024-01-12,Prov. Jawa Tengah,Kab. Kebumen,1.0
2024-01-12,Prov. Jawa Tengah,Kab. Kudus,1.0
2024-01-12,Prov. Jawa Barat,Kab. Karawang,1.0
2024-01-13,Prov. Jawa Timur,Kab. Kediri,3.0
2024-01-13,Prov. Jawa Timur,Kab. Nganjuk,1.0
2024-01-13,Prov. Jawa Timur,Kab. Sidoarjo,1.0
2024-01-13,Prov. Kalimantan Barat,Kab. Sanggau,1.0
2024-01-13,Prov. Riau,Kab. Siak,1.0
2024-01-13,Prov. Riau,Kab. Rokan Hilir,2.0
2024-01-13,Prov. Sumatera Barat,Kab. Dharmasraya,1.0
2024-01-13,Prov. Jawa Timur,Kab. Jember,1.0
2024-01-13,Prov. Kalimantan Timur,Kab. Kutai Kartanegara,1.0
2024-01-13,Prov. Jawa Timur,Kab. Gresik,1.0
2024-01-13,Prov. Jawa Tengah,Kab. Purworejo,1.0
2024-01-13,Prov. Jawa Tengah,Kota Surakarta,1.0
2024-01-13,Prov. Jawa Timur,Kab. Bangkalan,1.0
2024-01-13,Prov. D.K.I. Jakarta,Kota Jakarta Utara,1.0
2024-01-13,Prov. Jawa Barat,Kab. Bandung,1.0
2024-01-13,Prov. Jawa Barat,Kab. Bandung Barat,3.0
2024-01-13,Prov. Bali,Kab. Tabanan,1.0
2024-01-13,Prov. Jawa Barat,Kota Bandung,2.0
2024-01-13,Prov. Jawa Tengah,Kab. Kudus,1.0
2024-01-13,Prov. Jawa Tengah,Kab. Semarang,1.0
2024-01-13,Prov. Jawa Barat,Kab. Sukabumi,1.0
2024-01-14,Prov. Jawa Timur,Kab. Pacitan,1.0
2024-01-14,Prov. Sumatera Utara,Kab. Karo,1.0
2024-01-14,Prov. Riau,Kab. Rokan Hilir,1.0
2024-01-14,Prov. Kalimantan Timur,Kab. Kutai Timur,1.0
2024-01-14,Prov. Kalimantan Selatan,Kab. Tabalong,1.0
2024-01-14,Prov. Kalimantan Selatan,Kab. Hulu Sungai Utara,1.0
2024-01-14,Prov. Jawa Timur,Kota Malang,1.0
2024-01-14,Prov. Jawa Timur,Kab. Trenggalek,1.0
2024-01-14,Prov. Jawa Timur,Kab. Sidoarjo,1.0
2024-01-14,Prov. Jawa Timur,Kab. Nganjuk,1.0
2024-01-14,Prov. Banten,Kab. Tangerang,1.0
2024-01-14,Prov. Jawa Tengah,Kota Pekalongan,1.0
2024-01-14,Prov. Jawa Tengah,Kota Tegal,1.0
2024-01-14,Prov. Bali,Kab. Tabanan,1.0
